0,1,2,3,4,5,6
130,Gheorghe Hagi ,,36,for 4 clubs,51,15
131,Iván Helguera ,,32,for 2 clubs,87,15
132,Simone Inzaghi ,,27,,31,15
133,Diego Tristán ,,28,,43,15
134,Seydou Doumbia ,,29,for 3 clubs,31,15
135,Ferenc Bene ,,30,,28,15
136,Wlodzimierz Lubanski ,,25,,26,15
137,Zinédine Zidane ,,33,for 2 clubs,80,14
138,Kevin De Bruyne ,,31,for 3 clubs,70,14
139,Bernardo Silva ,,29,for 2 clubs,83,14
140,Robert Pirès ,,35,for 3 clubs,82,14
141,Ronaldo ,,31,for 3 clubs,40,14
142,David Villa ,,32,for 3 clubs,47,14
143,Sören Lerby ,,32,for 3 clubs,44,14
144,Ian Rush ,,36,for 2 clubs,26,14
145,Konstantinos Mitroglou ,,28,for 2 clubs,41,14
146,Roy Keane ,,33,,74,14
147,Adriano ,,28,for 2 clubs,27,14
148,Miroslav Klose ,,32,for 2 clubs,39,14
149,Klaas-Jan Huntelaar ,,37,for 3 clubs,42,14
150,Vincent Aboubakar ,,26,for 2 clubs,23,14
151,Jupp Heynckes ,,32,,27,14
152,Marius Lăcătuş ,,32,,41,14
153,Chicharito ,,28,for 3 clubs,46,14
154,Torbjörn Nilsson ,,31,,14,14
155,Héctor Rial ,,31,,23,14
156,Denis Law ,,29,,18,14
157,Deco ,,32,for 3 clubs,75,13
158,Phil Foden ,,23,,48,13
159,Ronald Koeman ,,31,for 3 clubs,52,13
160,Carlos Tevez ,,31,for 3 clubs,46,13
161,Jan Koller ,,29,for 2 clubs,30,13
162,Peter Crouch ,,30,for 2 clubs,34,13
163,Dimitar Berbatov ,,34,for 3 clubs,60,13
164,Sergey Yuran ,,31,for 3 clubs,20,13
165,Freddie Ljungberg ,,29,,64,13
166,Lukas Podolski ,,30,for 3 clubs,29,13
167,Hakan Şükür ,,35,,42,13
168,Sonny Anderson ,,32,for 2 clubs,29,13
169,George Weah ,,33,for 3 clubs,21,13
170,Jackson Martínez ,,29,for 2 clubs,26,13
171,Dennis Viollet ,,36,for 2 clubs,14,13
172,Burak Yılmaz ,,36,for 5 clubs,40,13
173,Antonis Antoniadis ,,31,,14,13
174,Willie Wallace ,,31,,26,13
175,Dani Alves ,,35,for 4 clubs,111,12
176,Bastian Schweinsteiger ,,31,for 2 clubs,95,12
177,Mario Götze ,,30,for 3 clubs,69,12
178,Wesley Sneijder ,,31,for 4 clubs,76,12
179,Piet Keizer ,,30,,43,12
180,Mehmet Scholl ,,36,,70,12
181,Philippe Coutinho ,,29,for 4 clubs,48,12
182,Carsten Jancker ,,27,,49,12
183,Sjaak Swart ,,34,,43,12
184,Lautaro Martínez ,,26,,41,12
185,Marco Asensio ,,27,for 2 clubs,60,12
186,Marcus Rashford ,,26,,33,12
187,Terry McDermott ,,34,for 2 clubs,33,12
188,Giovanni ,,32,for 2 clubs,41,12
189,Rabah Madjer ,,32,,17,12
190,Conny Torstensson ,,27,for 2 clubs,23,12
191,Roar Strand ,,37,,74,12
192,Paulo Sérgio ,,32,,36,12
193,Roland Wohlfarth ,,28,,30,12
194,Metin Oktay ,,27,,13,12
195,Joaquín Peiró ,,30,for 2 clubs,23,12
196,Ciro Immobile ,,33,for 4 clubs,20,12
197,Radamel Falcao ,,33,for 4 clubs,29,12
198,Walter Pandiani ,,28,,40,12
199,Luis Aragonés ,,35,,21,12
200,Ivan Mraz ,,26,for 2 clubs,17,12
201,Ivan Mraz ,,26,for 2 clubs,17,12
202,Allan Simonsen ,,32,for 2 clubs,25,12
203,Xavi ,,35,,151,11
204,Andrés Iniesta ,,33,,130,11
205,Toni Kroos ,,33,for 2 clubs,143,11
206,Clarence Seedorf ,,36,for 3 clubs,125,11
207,Mesut Özil ,,28,for 4 clubs,69,11
208,Joshua Kimmich ,,28,,75,11
209,Douglas Costa ,,30,for 3 clubs,76,11
210,İlkay Gündoğan ,,33,for 3 clubs,92,11
211,Dwight Yorke ,,30,,36,11
212,Sávio ,,34,for 2 clubs,39,11
213,Miralem Pjanic ,,31,for 5 clubs,83,11
214,Sidney Govou ,,31,for 2 clubs,73,11
215,José Callejón ,,33,for 2 clubs,42,11
216,Dejan Savicevic ,,30,for 2 clubs,32,11
217,Alberto Gilardino ,,27,for 2 clubs,39,11
218,Claudio López ,,29,for 2 clubs,30,11
219,Dejan Stankovic ,,33,for 2 clubs,87,11
220,Michael Essien ,,31,for 4 clubs,76,11
221,Christian Panucci ,,35,for 3 clubs,76,11
222,Jonas ,,34,for 2 clubs,32,11
223,Diego Costa ,,31,for 2 clubs,35,11
224,Christopher Nkunku ,,25,for 2 clubs,31,11
225,Alen Boksic ,,30,for 3 clubs,26,11
226,Zlatko Zahovic ,,30,for 3 clubs,32,11
227,Siniša Mihajlović ,,37,for 4 clubs,47,11
228,Alex Teixeira ,,31,for 2 clubs,44,11
229,Ferran Torres ,,23,for 3 clubs,26,11
230,Luuk de Jong ,,33,for 4 clubs,37,11
231,Harald Brattbakk ,,33,,38,11
232,Emmanuel Adebayor ,,27,for 3 clubs,44,11
233,Óscar Cardozo ,,30,,28,11
234,Michalis Konstantinou ,,30,for 2 clubs,35,11
235,Maksim Shatskikh ,,30,,45,11
236,Sébastien Haller ,,29,for 2 clubs,11,11
237,Lorenzo Insigne ,,29,,30,11
238,Saúl Ñíguez ,,29,for 2 clubs,74,11
239,Michael Owen ,,31,for 3 clubs,29,11
240,Jon Dahl Tomasson ,,28,for 3 clubs,42,11
241,Oleg Blokhin ,,34,,43,11
242,Jair ,,31,,34,11
243,Mauro Icardi ,,30,for 3 clubs,24,11
244,Ramón Grosso ,,28,,30,11
245,Tommy Taylor ,,26,,14,11
246,Ernest Pohl ,,34,for 2 clubs,21,11
247,Darko Pancev ,,26,for 2 clubs,20,11
248,Vladica Kovacevic ,,26,for 2 clubs,22,11
249,Ally McCoist ,,34,,31,11
250,Claudio Sulser ,,27,,10,11
251,Darko Pancev ,,26,for 2 clubs,20,11
252,Vladica Kovacevic ,,26,for 2 clubs,22,11
253,Ally McCoist ,,34,,31,11
254,Claudio Sulser ,,27,,10,11
255,Ivan Rakitic ,,35,for 3 clubs,96,10
256,David Silva ,,34,for 2 clubs,70,10
257,Eden Hazard ,,32,for 3 clubs,61,10
258,Tomas Rosicky ,,34,for 3 clubs,70,10
259,Dusan Tadic ,,33,,36,10
260,Isco ,,30,for 4 clubs,78,10
261,Ricardo Quaresma ,,34,for 3 clubs,60,10
262,Hakim Ziyech ,,30,for 3 clubs,44,10
263,Ousmane Dembélé ,,26,for 3 clubs,45,10
264,Ray Kennedy ,,30,for 2 clubs,38,10
265,Jefferson Farfán ,,34,for 3 clubs,60,10
266,Jude Bellingham ,,20,for 2 clubs,27,10
267,John Terry ,,35,,109,10
268,Emil Forsberg ,,32,for 2 clubs,46,10
269,Paolo Rossi ,,28,,18,10
270,Willem van Hanegem ,,30,,19,10
271,André Silva ,,28,for 3 clubs,22,10
272,Michael Laudrup ,,31,for 4 clubs,41,10
273,Arkadiusz Milik ,,28,for 3 clubs,24,10
274,João Félix ,,24,for 4 clubs,37,10
275,Ivica Olic ,,32,for 2 clubs,26,10
276,Phil Neal ,,34,,57,10
277,Mirko Vucinic ,,30,for 2 clubs,37,10
278,Christian Vieri ,,32,for 3 clubs,35,10
279,Ivica Olic ,,32,for 2 clubs,26,10
280,Emil Kostadinov ,,29,for 4 clubs,34,10
281,Luis García ,,32,for 3 clubs,35,10
282,Franck Sauzée ,,27,,19,10
283,Mário Coluna ,,34,,58,10
284,Youssef En-Nesyri ,,26,,19,10
285,Willy van der Kuijlen ,,31,,15,10
286,Toni Polster ,,22,,14,10
287,Jacques Foix ,,29,,14,10
288,Rudolf Kucera ,,23,,14,10
289,Peter Pacult ,,31,,8,10
290,Just Fontaine ,,27,,8,10
291,Darwin Núñez ,,23,for 2 clubs,18,10
292,Sir Bobby Charlton ,,31,,28,10
293,Péter Palotás ,,29,,8,10
294,Tsvetan Yonchev ,,27,,24,10
295,Harry Hood ,,29,,25,10
296,Wissam Ben Yedder ,,27,,14,10
297,Hervé Revelli ,,30,,32,10
298,Marcelo ,,34,,102,9
299,Luka Modric ,,38,for 2 clubs,121,9
300,Nani ,,28,for 2 clubs,60,9
301,Thiago ,,31,for 3 clubs,80,9
302,Predrag Djordjevic ,,35,,62,9
303,Robinho ,,30,for 2 clubs,45,9
